game_pk,at_bat_number,pitch_number,inning,half_inning,strikes,batterid,pitcherid,pitch_type,velocity,atbatresult
717182,1,1,1,top,0,656941,645261,SI,96.4,single
717182,1,2,1,top,0,656941,645261,CH,90.6,single
717182,2,1,1,top,0,664761,645261,SL,91,single
717182,2,2,1,top,0,664761,645261,SI,97.4,single
717182,2,3,1,top,0,664761,645261,SI,97.6,single
717182,2,4,1,top,1,664761,645261,SL,90.8,single
717182,2,5,1,top,2,664761,645261,SI,97.3,single
717182,2,6,1,top,2,664761,645261,SI,98.9,single
717182,3,1,1,top,0,547180,645261,CH,91,grounded_into_double_play
717182,4,1,1,top,0,592206,645261,CH,92,field_out
717182,4,2,1,top,0,592206,645261,SI,98.3,field_out
717182,4,3,1,top,0,592206,645261,CH,90.4,field_out
717182,4,4,1,top,1,592206,645261,CH,91.6,field_out
717182,5,1,1,bottom,0,650333,624133,FF,92.5,field_out
717182,6,1,1,bottom,0,624585,624133,FF,92.8,single
717182,7,1,1,bottom,0,650559,624133,SI,92.5,single
717182,7,2,1,bottom,1,650559,624133,CH,80.2,single
717182,7,3,1,bottom,1,650559,624133,CH,80.8,single
717182,7,4,1,bottom,1,650559,624133,SI,92.6,single
717182,7,5,1,bottom,1,650559,624133,SI,92.9,single
717182,7,6,1,bottom,2,650559,624133,SI,92.9,single
717182,8,1,1,bottom,0,541645,624133,FC,85.8,strikeout
717182,8,2,1,bottom,1,541645,624133,CH,81.7,strikeout
717182,8,3,1,bottom,2,541645,624133,CH,81.6,strikeout
717182,9,1,1,bottom,0,660821,624133,SI,93.2,single
717182,10,1,1,bottom,0,542932,624133,CU,74.8,force_out
717182,10,2,1,bottom,1,542932,624133,CH,81.1,force_out
717182,11,1,2,top,0,681082,645261,SL,90.8,field_out
717182,11,2,2,top,1,681082,645261,FF,98.1,field_out
717182,11,3,2,top,2,681082,645261,FF,98.2,field_out
717182,11,4,2,top,2,681082,645261,FF,98.9,field_out
717182,11,5,2,top,2,681082,645261,CH,92,field_out
717182,11,6,2,top,2,681082,645261,CH,91.3,field_out
717182,12,1,2,top,0,607208,645261,SL,90.6,strikeout
717182,12,2,2,top,1,607208,645261,FF,98.4,strikeout
717182,12,3,2,top,2,607208,645261,FF,98.9,strikeout
717182,13,1,2,top,0,669016,645261,CH,91.4,field_out
717182,14,1,2,bottom,0,493329,624133,FF,92.5,single
717182,14,2,2,bottom,0,493329,624133,FF,92.4,single
717182,14,3,2,bottom,1,493329,624133,CH,82.1,single
717182,15,1,2,bottom,0,621563,624133,SI,92.9,strikeout
